orfid	yORF	gene name	GFP tagged?	GFP visualized?	TAP visualized?	abundance	error	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
5912	YBL069W	AST1	tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5119	YBL071W-A	KTI11	tagged	visualized	TAP visualized	8400	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3864	YBL072C	RPS8A	tagged	visualized	TAP visualized	15900	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2623	YBL074C	AAR2	tagged	visualized	TAP visualized	7330	500.0	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1048	YBL075C	SSA3	tagged	visualized	TAP visualized	6440	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
308	YBL076C	ILS1	tagged	visualized	TAP visualized	23300	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5251	YBL079W	NUP170	tagged	visualized	TAP visualized	1560	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1492	YBL080C	PET112	tagged	visualized	TAP visualized	1390	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1939	YBL082C	RHK1	tagged	visualized	TAP visualized	technical problem	NA	cytoplasm,vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
753	YBL084C	CDC27	tagged	visualized	TAP visualized	593	88.0	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
386	YBL085W	BOI1	tagged	visualized	TAP visualized	1040	NA	bud neck,cytoplasm,cell periphery,bud	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T		
1888	YBL086C		tagged	visualized	TAP visualized	396	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3021	YBL087C	RPL23A	tagged	visualized	not TAP visualized	not visualized	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4048	YBL090W	MRP21	tagged	visualized	TAP visualized	1270	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2186	YBL091C	MAP2	tagged	visualized	TAP visualized	1080	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3691	YBL093C	ROX3	tagged	visualized	TAP visualized	6120	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3308	YBL095W		tagged	visualized	TAP visualized	704	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
823	YBL097W	BRN1	tagged	visualized	TAP visualized	704	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1925	YBL098W	BNA4	tagged	visualized	TAP visualized	556	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5645	YBL099W	ATP1	tagged	visualized	TAP visualized	41500	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
